"record_id","date","position","position_other","department_head","department_other","residence_program","residence_program_other","residence_year","university","gender","degree","age","research_tools","funding","collab_support","consumables","internet","journal_access","specialty_training","knowledge","professor_experience","research_incentives","skills_training","managerial_training","workload","work_hours","needed_positions","monitoring","reporting","oversight","excel_incentives","sanctions","incentive_additional","incentives_open_answer","infrastructure","staff_support","consulting_firms","training_workshops","academic_institutions","public_institutions","additional_support","external_support","information_flow","admin_decisions","research_exchange","travel_auth","irb_revision","institutional_processes","forums","research_importance","curriculum","abroad_training","research_proposal","research_choice","research_control","evaluating","topics","design","information_collection","new_ideas","paperwork","resource_access","time_management","admin_activitives","instructing","feedback","team_member","colleague_rapport","technical_equipment","limited_resources","change_coping","health_promotion","interpret_findings","report_writing","self_appraisal","practical_application","data_analysis","further_training","capacity_assessment_questionnaire_complete","position2"
"116",116,"5/9/2019","subspecialty resident","",NA,"","general surgery","","fifth year","USAC","male","1. university",28,1,1,1,1,3,1,5,5,4,5,1,1,1,1,"librarian, biostatistician, epidemiologist ",1,2,3,1,5,1,"funding, more training ",1,1,1,1,1,1,"personal advisor, funding, physical  space","advisors, libraries",3,1,1,1,2,"medical records, better filled medical records, INE",1,1,1,1,5,5,2,4,4,3,5,6,3,3,3,3,6,6,6,6,7,7,7,7,5,5,6,5,5,"Administrative, ER and Intensive care unit ",2,"resident"
"117",117,"5/9/2019","specialty resident","",NA,"","general surgery","","first year","USAC","male","2. masters or med specialty",25,2,1,2,2,2,2,4,4,5,3,1,3,2,2,"research professor, research committee ",3,3,3,3,5,3,"time",4,2,2,4,3,2,"technical: better data bases to facilitate data collection, Professional: professor exclusively in charge of research","technical: better data bases to facilitate data collection",2,1,1,1,2,"facilitate access to medical records and data bases, archive staff in charge of research and data collection ",3,3,3,3,5,5,5,4,5,3,4,5,5,5,5,6,5,5,5,7,6,6,6,3,4,4,7,2,2,"analytical studies, experimental studies, comparative studies ",2,"resident"
"118",118,"5/9/2019","specialty resident","",NA,"","general surgery","","first year","Other","female","1. university",27,2,2,1,1,1,5,5,5,5,5,1,1,1,1,"epidemiologist ",2,2,4,1,4,1,"interesting research topics, trained researchers, infrastructure to carry out research ",1,1,2,1,1,1,"trained researchers, research laboratories, research courses: relevant for physicians ","research institutions ",3,3,1,1,1,"",1,1,3,2,3,2,2,7,7,5,5,6,7,7,7,7,6,6,7,7,7,7,7,7,5,5,5,7,5,"scientific team, statistics and data entry, report writing ",2,"resident"
"119",119,"5/9/2019","specialty resident","",NA,"","general surgery","","first year","Other","male","1. university",28,1,1,1,1,1,5,2,2,4,4,1,1,1,1,"epidemiologist ",2,5,5,4,1,5,"protected time to be able to carry  out research",1,1,1,1,2,2,"protected time ","collaborative work with other universities ",5,2,1,1,5,"systematization, digital clinical records ",4,1,1,1,3,1,1,6,5,4,7,6,6,3,1,1,5,5,7,7,7,7,4,7,6,7,7,6,7,"trauma and day hospital ",2,"resident"
"120",120,"5/9/2019","specialty resident","",NA,"","general surgery","","first year","Other","male","1. university",29,1,1,1,1,1,3,5,5,5,3,1,1,1,5,"biostatistician, epidemiologist, researcher ",1,1,3,1,5,1,"funding, time, resources ",1,1,1,1,3,3,"funding, less work load to be able to work in research ","statistics, epidemiology trained staff ",3,3,2,2,3,"INE, medical records, definitions records ",3,1,1,1,5,5,5,4,5,5,5,4,6,3,3,3,6,5,6,6,7,4,4,6,6,5,5,5,6,"background, data entry, organization",2,"resident"
"121",121,"6/3/2019","specialty resident","",NA,"","trauma","","first year","USAC","male","2. masters or med specialty",26,2,1,2,1,1,3,3,3,4,4,3,3,1,1,"",2,3,3,2,3,2,"time, financing",1,1,3,3,3,3," time, support perconal","",2,1,1,1,3," information online data banks, statistics for access to medical personnel",1,2,1,2,5,5,3,3,3,3,3,3,5,3,4,4,3,3,5,4,5,3,3,3,5,4,4,3,4,"",0,"resident"
"122",122,"5/3/2019","specialty resident","",NA,"","trauma","","second year","USAC","male","2. masters or med specialty",28,1,6,1,1,6,1,3,4,3,5,1,1,3,1,"Head of Service",2,2,3,3,3,3,"financing",3,3,3,2,3,2,"time","external collaboration",3,3,2,2,2,"INE",3,3,2,2,3,3,3,4,5,3,3,3,3,4,2,3,5,5,6,7,5,4,5,6,4,4,5,4,6,"statistics",0,"resident"
"123",123,"5/9/2019","specialty resident","",NA,"","general surgery","","third year","USAC","male","2. masters or med specialty",27,1,2,2,2,3,1,3,4,4,5,5,5,1,1,"epidemiologist, masters in scientific research ",1,1,3,NA,2,2,"protected time",1,1,2,1,2,2,"updated libraries, computer center ","promotion, funding for supplies ",3,2,2,3,3,"medical records, more accessible review board ",2,1,4,3,2,2,2,5,6,5,5,5,5,6,6,7,6,6,6,6,6,6,6,6,5,6,6,6,6,"clinical analysis in emergency patients ",2,"resident"
"124",124,"5/9/2019","specialty resident","",NA,"","general surgery","","first year","USAC","male","1. university",25,2,2,2,2,2,2,3,5,3,5,2,2,2,3,"biostatistician ",2,2,2,2,2,2,"funding ",2,2,3,3,3,3,"funding, exercises and examples about research ","supplies to carry out research",3,3,3,3,3,"medical records ",2,2,2,2,3,3,3,3,3,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,5,4,5,3,5,"emergency, outpatients ",2,"resident"
"125",125,"5/9/2019","specialty resident","",NA,"","general surgery","","third year","Other","male","2. masters or med specialty",27,1,2,1,1,1,3,5,5,5,5,1,1,1,1,"biostatistician, epidemiologist ",2,2,2,2,2,1,"time, funding",1,1,3,2,2,2,"infrastructure, equipment, easier access to medical records ","advisors, support from universities, university incentives ",2,2,1,1,3,"medical records, RENAP, access to data from other areas of Guatemala ",1,3,1,1,3,2,1,4,3,4,4,4,6,4,2,4,4,4,3,4,6,3,3,2,4,4,4,4,3,"data analysis, study design ",2,"resident"
"126",126,"5/9/2019","specialty resident","",NA,"","general surgery","","first year","USAC","male","1. university",26,1,1,3,1,1,3,5,5,4,5,5,3,2,1,"biostatistician, informatics ",2,2,2,1,5,1,"funding, publications, academic recognition ",1,1,1,2,1,1,"statistics, access to information ","funding, workshops ",2,2,1,1,2,"medical records, updated data bases ",2,2,3,2,4,4,4,3,4,4,5,5,5,5,5,4,4,5,6,6,6,6,5,5,4,4,5,5,5,"study design, research tools ",2,"resident"
"127",127,"5/9/2019","specialty resident","",NA,"","general surgery","","third year","USAC","male","1. university",29,1,1,3,1,1,1,5,5,4,5,2,2,1,1,"epidemiologist, statistician ",2,2,3,2,6,2,"funding ",1,1,1,1,1,1,"incentives ","private iniciative ",1,1,1,2,6,"",1,2,3,2,2,2,5,2,3,1,1,2,3,3,1,1,1,1,3,2,2,2,1,1,2,2,1,2,2,"protocol, statistics, result presentation ",2,"resident"
"128",128,"5/9/2019","specialty resident","",NA,"","general surgery","","first year","URL","female","1. university",25,1,1,1,1,1,1,5,5,6,5,1,1,1,1,"epidemiologist ",2,2,3,1,5,1,"time, funding ",1,1,1,1,3,3,"resources (computadoras), work areas ","research project supervisors ",2,5,1,1,3,"medical records",1,1,2,1,5,3,1,7,5,4,6,6,7,6,5,5,7,6,7,7,7,7,6,6,6,6,7,6,3,"statistics, result interpretation, data analysis ",2,"resident"
"129",129,"5/9/2019","specialty resident","",NA,"","general surgery","","fourth year","USAC","female","1. university",29,1,1,1,2,1,4,4,3,4,5,4,4,4,1,"epidemiologist ",3,3,5,3,2,2,"funding, time ",1,3,2,3,3,3,"promotion,  incentive, support","advisors, collaborative work with institutions ",3,3,1,1,1,"access to records",1,1,1,5,5,5,1,5,5,5,7,7,4,4,7,3,7,6,7,7,5,6,5,7,6,6,7,7,5,"professors, administration, post surgery patients ",2,"resident"
"130",130,"5/14/2019","head of service","","internal medicine","","other",NA,NA,NA,"female","2. masters or med specialty",41,1,1,1,1,4,4,1,2,2,1,1,1,6,6,"principal investigator, staff that carries out research, tecnitian ",1,4,3,1,1,1,"dissemination for results",2,1,1,6,3,4,"time, funding ","statistics ",5,1,5,6,5,"medical records, RENAP",1,1,2,1,4,5,1,6,5,5,6,5,4,4,4,4,4,3,6,5,5,5,5,5,6,5,5,5,4,"statistics ",2,"dept head"
"131",131,"5/14/2019","head of academic area","","internal medicine","","other",NA,NA,NA,"female","3. 2nd masters or med subspecialty",46,1,6,1,2,1,1,2,2,2,3,3,3,1,1,"",1,1,1,1,1,1,"",1,1,2,2,2,2,"","",2,2,2,2,2,"digital medical records ",1,1,1,1,1,2,3,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"",2,"dept head"
"132",132,"5/14/2019","head of service","","internal medicine","","other",NA,NA,"USAC","male","3. 2nd masters or med subspecialty",51,1,1,1,1,1,1,1,1,3,4,1,1,2,4,"",2,2,2,3,4,2,"funding, promotion, incentives ",1,1,1,2,2,2,"","research programs, advisors , international support ",1,1,1,3,1,"",1,2,2,2,1,3,2,3,3,4,3,3,4,3,3,2,5,4,4,4,3,3,2,3,4,4,6,5,5,"research, epidemiology, administration ",2,"dept head"
"133",133,"5/14/2019","head of service","","internal medicine","","other",NA,NA,"USAC","female","3. 2nd masters or med subspecialty",NA,1,1,1,1,1,1,6,3,1,NA,1,1,1,1,"biostatistician,  epidemiologist, digitizer ",1,1,1,1,1,1,"assigned hours to research ",4,1,1,1,1,1,"assigned time to research, virtual journal access ","collaborative work with other programms ",1,1,1,1,1,"medical records and clinical records are not electronic/digital",1,1,1,1,1,1,1,7,6,6,7,7,4,5,5,4,6,6,7,7,6,6,6,6,6,5,7,7,7,"biostatistics, use of tools for data analysis ",2,"dept head"
"134",134,"5/3/2019","specialty resident","",NA,"","trauma","","second year","USAC","male","1. university",27,1,1,1,1,1,1,5,5,5,5,1,1,1,1,"epidemiologist, biostatist, researcher",1,1,3,1,5,1,"financing, time, trained personnel",1,1,1,1,1,1,"trained personnel, facilities, financing","consultants, research facilities",1,1,1,1,1," easy and quick search of medical records, protocol to investigate, trained personnel",1,1,1,1,1,1,1,1,3,1,1,1,2,1,3,3,1,1,5,5,6,6,6,1,2,2,4,2,3,"  data collection, protocol development, reporting",2,"resident"
"135",135,"5/3/2019","specialty resident","",NA,"","trauma","","first year","URL","female","1. university",25,2,3,2,2,1,4,4,4,2,4,3,2,1,1,"epidemiologist, research coordinators, evaluators",3,3,3,1,1,1," financing, time to carry out the research, material for research",1,1,1,2,2,2,"time, personnel in quantity in each service","financing",2,1,1,1,3,"access to medical records, access to image studies, digitalization of data ",1,1,3,1,4,3,1,3,5,6,6,3,4,4,2,2,1,2,4,5,7,5,5,4,5,4,4,4,5,"  interpretation of clinical articles",2,"resident"
"136",136,"5/3/2019","specialty resident","",NA,"","trauma","","first year","Other","male","1. university",37,2,1,2,1,1,1,5,5,5,5,1,1,1,1,"librarian, biostatistician, epidemiologist",1,1,1,1,1,1,"none",1,1,1,1,1,1,"none","none",1,1,1,1,1,"none",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none",2,"resident"
"137",137,"5/3/2019","specialty resident","",NA,"","trauma","","fourth year","USAC","male","2. masters or med specialty",29,1,1,2,1,2,2,3,5,5,3,3,2,1,1,"biostatistician",1,2,3,2,3,2," financing",1,1,3,1,3,2,"time"," financing",2,2,1,1,1,"online information",1,3,3,4,1,1,3,4,6,6,6,7,5,7,7,7,6,6,7,7,7,6,7,7,7,7,7,7,7,"",0,"resident"
"138",138,"5/3/2019","specialty resident","",NA,"","trauma","","second year","USAC","male","1. university",26,1,1,1,1,1,1,3,3,3,5,3,3,1,1,"epidemiologist",3,3,3,3,3,3,"financing, research tools, trained personnel",3,3,1,1,1,1," economic, library, technological"," research institutions",3,3,3,3,3,"INE",1,1,1,1,3,3,3,3,4,2,5,2,3,3,3,3,3,4,2,4,3,3,3,3,3,3,3,4,3,"field work, methodology",0,"resident"
"139",139,"5/3/2019","specialty resident","",NA,"","trauma","","third year","USAC","male","2. masters or med specialty",25,1,1,1,5,5,1,5,5,3,3,3,1,1,1,"bioestadistic ",1,1,1,1,1,1,"time",3,1,1,1,1,1,"infrastructure","consultants",3,3,1,1,1,"easy access to medical records",1,1,1,1,3,1,1,1,1,1,1,1,6,5,4,1,5,5,6,7,6,6,5,4,6,5,5,6,1,"statistic analysis",2,"resident"
"140",140,"5/3/2019","specialty resident","",NA,"","trauma","","third year","URL","female","2. masters or med specialty",27,1,1,2,2,1,2,3,4,4,4,1,1,1,1,"statistical, epidemiological",1,3,3,1,4,3,"time, knowledge, training",1,1,1,1,2,2,"motivation, more research personnel","statistical consultant, epidemiologist consultant",2,2,1,2,2," medical records, previous stationery records",1,2,3,1,4,2,2,3,4,3,4,4,4,4,4,3,4,4,4,4,6,5,5,4,4,3,4,3,2,"  statistical analysis, interpretation of results, research elaboration",2,"resident"
"141",141,"5/14/2019","head of service","","internal medicine","","other",NA,NA,NA,"male","3. 2nd masters or med subspecialty",30,1,1,1,1,1,1,1,5,5,6,1,1,1,1,"",1,1,1,1,1,1,"time, information access, help from a research unit",1,1,1,6,6,6,"resources, space, trained research staff","",1,1,1,1,1,"statistics available on line ",1,1,1,1,4,4,1,1,5,4,4,6,1,1,1,1,6,6,6,6,1,1,1,1,5,4,3,3,3,"statistics ",2,"dept head"
"142",142,"5/14/2019","head of service","","internal medicine","","other",NA,NA,NA,"male","2. masters or med specialty",30,4,2,3,5,3,1,4,4,5,4,3,3,2,2,"biostatistician, physician with research speciality, librarian ",3,3,3,2,4,1,"scientific support, funding, support for research staff",3,3,2,1,1,2,"academic recognition, incentives, research results applied to real life","support from trained staff, support from pharmaceutics ",3,3,1,2,2,"medical records, clinical records, INE ",2,3,4,3,5,4,3,5,6,6,5,5,4,4,7,5,7,6,7,7,6,5,5,5,5,6,6,7,5,"surgery ER, outpaitient care, ",2,"dept head"
"143",143,"5/14/2019","head of academic area","","internal medicine","","other",NA,NA,"UFM","female","3. 2nd masters or med subspecialty",44,1,1,1,1,1,1,2,4,5,6,1,1,1,1,"biostatistician ",1,1,1,1,1,1,"funding, time ",1,1,1,4,1,1,"funding guidance and supervision, funding and capacity building, protected time","funding, training ",1,1,1,1,2,"facilitate access to medical records, on line access ",1,1,2,2,4,5,1,5,3,3,4,NA,4,2,2,2,3,4,6,7,6,6,7,2,6,6,4,7,2,"data analysis, research methodology, results ",2,"dept head"
"144",144,"5/14/2019","head of service","","internal medicine","","other",NA,NA,NA,"male","3. 2nd masters or med subspecialty",62,2,1,3,4,1,2,6,6,6,6,6,2,3,3,"librarian, biostatistician, epidemiologist ",2,2,2,1,2,2,"promotion, funding, protected time",1,1,2,2,2,1,"on line medical records, training, support ","collaborative work with research institutions, computers ",1,1,1,6,3,"access to cancer medical records, INE, medical records ",3,2,4,2,3,6,4,4,4,4,4,5,5,5,5,5,5,4,5,5,6,5,6,6,5,5,5,5,4,"biostatistics, epidemiology, ",2,"dept head"
"145",145,"5/14/2019","head of academic area","","internal medicine","","other",NA,NA,"USAC","male","3. 2nd masters or med subspecialty",40,1,1,1,1,1,1,6,6,1,3,3,2,2,3,"biostatistician ",2,3,2,1,4,2,"",1,2,2,2,4,3,"epidemiologist, improve approval time by the ethic committee","advisors ",1,2,1,3,1,"on- line medical records",2,1,5,4,4,5,4,6,7,5,5,6,4,4,4,7,6,6,7,7,6,6,6,6,7,6,6,6,6,"",2,"dept head"
"146",146,"5/14/2019","head of service","","internal medicine","","other",NA,NA,NA,"male","2. masters or med specialty",61,4,1,3,4,4,3,4,4,4,6,2,2,2,2,"internet access, acces to index journals, biostatistics course, epidemiologist advisor ",3,3,2,2,2,2,"protected time, funding ",2,2,2,2,2,2,"adequate space, computers and internet, support staff","secretaries, advisors, biostatistics course ",3,3,2,3,3,"improve all bureaucratic processes ",2,2,2,2,4,2,2,6,6,3,6,6,3,3,3,3,6,6,6,6,6,6,4,5,6,6,6,6,3,"biostatistics, epidemiology, internet search/ medical literature ",2,"dept head"
"147",147,"5/10/2019","head of service","","internal medicine","","other",NA,NA,NA,"female","2. masters or med specialty",32,1,1,1,1,1,1,4,4,3,4,3,3,2,3,"library with equipment and information access, biostatistician advisor, staff Ito carry out field work ",2,2,3,3,3,2,"funding, complete medical records available, time to carry out fieldwork,",1,1,3,3,1,2,"funding, data bases with patient information, support during field work,/ time availability ","review board open to accept experimental research, support from pharmaceutic companies  in treatment implementation, advisory to publish research work ",3,3,1,2,2,"data bases of complete medical records, access to updated statistics, free access to health institutions ",2,2,2,2,3,1,2,5,6,7,7,6,6,5,5,5,7,6,7,7,7,7,7,6,6,6,6,6,6,"guides to publish studies, data analysis, use of technology for research ",2,"dept head"
"148",148,"5/10/2019","head of service","","internal medicine","","other",NA,NA,"USAC","male","2. masters or med specialty",70,1,1,3,1,1,2,5,5,5,5,2,2,2,2,"biostatistician ,librarian, epidemiologist ",3,3,3,2,2,2,"funding, protected time, promotion",2,1,3,2,2,2,"spaced shifts, organization ","collaborative work with research institutions, consultants ",2,2,3,2,3,"extreme bureaucracy ",2,2,2,3,4,3,4,2,2,2,2,2,3,3,4,3,4,4,4,6,5,4,4,4,3,2,3,3,3,"statistics, computers, research ",2,"dept head"
"149",149,"5/10/2019","head of service","","internal medicine","","other",NA,NA,"USAC","male","3. 2nd masters or med subspecialty",34,5,5,5,5,5,5,1,1,1,1,4,4,4,1,"biostatistician, epidemiologist ",3,3,2,3,2,3,"promotion, academic recognition, project implementation ",4,3,4,4,3,3,"equipment (computers, internet), infrastructure ","incentives, promotion",3,3,3,2,3,"electronic medical records",4,4,2,2,1,2,2,6,7,6,7,7,6,5,6,6,7,7,7,7,7,6,6,6,4,4,5,6,4,"virtual tools to develop research ",2,"dept head"
"150",150,"5/10/2019","head of service","","internal medicine","","other",NA,NA,"URL","male","2. masters or med specialty",29,3,2,2,4,3,3,3,5,5,5,3,2,2,3,"",2,2,4,2,3,2,"scholarships, funding ",2,2,2,3,4,3,"statistics data bases ","funding ",3,3,2,3,3,"medical records ",2,2,3,2,3,2,2,3,5,3,4,3,3,3,3,3,3,4,5,5,4,6,4,2,4,4,3,3,4,"",2,"dept head"
"151",151,"5/10/2019","head of service","","internal medicine","","other",NA,NA,"USAC","male","2. masters or med specialty",29,3,1,2,5,3,1,5,4,4,5,2,2,1,1,"biostatistician, epidemiologist, administration ",3,2,2,1,3,1,"publishing research, promotion, funding ",3,2,4,2,3,2,"monthly rotation in research, supplies, continuos update on statistical packages","funding, support from universities, support from ONGs",3,2,2,2,4,"accesible medical records, access to statistics from all units, support from the health ministry ",5,3,5,4,5,4,2,5,7,3,5,7,6,5,7,6,6,6,3,7,7,6,7,2,4,3,3,3,5,"biostatistics, critical analysis on research statistics, qualitative studies ",2,"dept head"
"152",152,"5/10/2019","head of service","","internal medicine","","other",NA,NA,"Other","male","3. 2nd masters or med subspecialty",41,1,1,1,1,1,1,4,4,4,2,1,1,2,1,"biostatistician, epidemiologist ",1,3,4,1,1,1,"protected time",1,1,1,1,1,1,"time. physical space","training ",2,1,1,1,3,"medical records, INE",1,1,5,3,3,3,1,5,5,4,6,4,3,3,6,5,5,5,4,6,4,5,4,4,5,5,3,4,5,"statistic, study design, sample size",2,"dept head"
"153",153,"5/10/2019","head of service","","internal medicine","","other",NA,NA,NA,"male","2. masters or med specialty",48,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"protected time, promotion",3,4,3,1,2,2,"time","none ",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,3,1,1,3,4,2,2,1,3,1,1,4,2,1,4,4,4,4,3,2,NA,NA,NA,NA,NA,"",2,"dept head"
"154",154,"5/10/2019","head of service","","internal medicine","","other",NA,NA,NA,"female","2. masters or med specialty",46,1,1,1,1,1,1,3,3,3,3,2,2,1,3,"biostatistician ",3,3,3,1,3,1,"time , funding ",3,3,3,3,3,5,"training, administrative staff ","",3,3,4,1,3,"medical records ",3,1,2,3,3,2,3,5,4,4,4,2,5,4,4,4,3,3,3,5,5,6,5,4,6,5,4,3,4,"",2,"dept head"
"155",155,"5/10/2019","head of service","","internal medicine","","other",NA,NA,NA,"male","2. masters or med specialty",NA,1,1,1,1,1,1,3,3,3,3,1,1,2,3,"librarian, biostatistician, epidemiologist ",1,1,3,2,2,2,"promotion, funding, protected time",2,2,1,2,2,2,"funding, statistics, epidemiologist","economic, statistics, epidemiology ",2,2,2,3,2,"medical records, national statistics ",2,2,1,3,4,2,3,4,5,4,5,7,4,2,5,4,6,6,7,7,5,5,5,5,4,4,6,6,4,"statistics, epidemiology ",2,"dept head"
"156",156,"5/10/2019","head of service","","internal medicine","","other",NA,NA,"URL","male","2. masters or med specialty",55,1,1,3,1,1,3,4,4,4,1,3,1,3,5,"",3,5,5,4,4,1,"funding, equipment, staff support ",5,3,4,3,3,3,"","",3,4,3,3,4,"electronic medical records",2,2,4,4,5,5,3,4,5,3,6,6,6,3,3,4,4,4,6,6,6,6,5,5,6,6,6,6,5,"data analysis, research methodology ",2,"dept head"
"157",157,"5/10/2019","head of service","","internal medicine","","other",NA,NA,NA,"male","3. 2nd masters or med subspecialty",NA,1,1,1,1,1,1,5,5,5,5,4,1,1,3,"biostatistics, informatics engineers or technicians, data bases online ",1,1,3,1,1,1,"promotion, institutional recognition, provide resources to carry out research ",1,1,1,1,5,3,"protected time, advisors and consultants, electronic  access to epidemiological data ","network with national and international institutions, collaborative work, advisory  for data analysis ",1,1,1,6,2,"electronic medical records, access to epidemiological data online, access to local data bases ",2,1,1,6,5,2,5,6,7,5,6,7,3,1,5,1,6,6,7,7,7,5,6,3,6,5,5,6,7,"administration, data collection, study design ",2,"dept head"
"158",158,"5/8/2019","specialty resident","",NA,"","internal medicine","","first year","Other","male","2. masters or med specialty",30,1,1,1,1,1,1,3,3,2,4,3,2,2,1,"research professor, biostatistician ",3,5,3,2,6,1,"protected time, funding, ",1,1,1,3,3,2,"protected time, funding, ","consultants, network with other institutions, links with other institutions and research faculties ",5,2,4,1,4,"",3,3,4,3,5,5,3,4,2,3,7,4,4,7,5,7,6,6,7,7,7,6,6,6,3,4,3,6,3,"training in statistical packages, data interpretation, conducting research  ",2,"resident"
"159",159,"5/8/2019","specialty resident","",NA,"","internal medicine","","first year","Other","male","2. masters or med specialty",29,1,5,1,1,1,1,3,5,5,3,2,1,1,1,"research professors ",2,2,3,3,5,2,"time",1,1,3,2,2,1,"infrastructure, research area a place where lectures can be carried out and for workshops ","consultants, statistical analysis ",1,2,1,4,4,"There is no time to work on research ",1,1,1,2,5,5,5,3,4,2,3,5,4,3,4,2,3,2,3,4,3,2,3,3,3,4,3,3,2,"SPSS, EpiInfo ",2,"resident"
"160",160,"5/8/2019","specialty resident","",NA,"","internal medicine","","first year","USAC","male","1. university",29,2,2,4,2,1,1,4,3,3,4,4,3,1,1,"librarian, biostatistician, epidemiologist ",3,3,3,3,3,3,"funding, time, workshops ",1,3,4,4,2,2,"time, less work pressure, more research topics","collaborative work with other institutions, consultants, funding ",3,3,3,3,3,"medical records, death certificates, Renap",3,3,3,3,4,3,3,2,3,3,2,3,3,5,5,3,4,4,4,5,5,5,4,5,3,3,4,3,2,"rheumatology, neurology ",2,"resident"
"161",161,"5/8/2019","specialty resident","",NA,"","internal medicine","","first year","URL","female","1. university",25,1,1,2,NA,5,5,5,5,2,3,1,1,1,1,"research professors ",4,3,4,1,5,1,"protected time. research advisors, funding ",4,2,5,4,1,1,"decrease work load to have time for research, better  administration of information, adequate statistics ","funding, technology support, opportunity to present studies ",1,1,1,1,4,"better access to medical records, better information ",3,1,1,1,5,5,2,6,6,6,4,5,3,2,2,3,5,5,3,3,2,3,5,5,3,3,4,3,3,"",2,"resident"
"162",162,"5/8/2019","specialty resident","",NA,"","internal medicine","","first year","USAC","female","1. university",28,3,1,1,1,5,1,4,1,1,3,1,1,1,1,"librarian, biostatistician, head of service ",3,2,5,2,3,1,"promotion, funding, time",1,2,5,1,1,1,"time","consultants, biostatistician",2,1,1,1,3,"medical records, death certificates",1,1,1,2,3,1,5,4,6,5,6,3,7,7,4,3,3,6,6,6,7,5,5,5,5,7,6,3,4,"statistical analysis, data collection ",2,"resident"
"163",163,"5/8/2019","specialty resident","",NA,"","internal medicine","","third year","USAC","female","1. university",30,3,3,3,2,5,3,3,3,3,4,2,2,2,3,"library (physical and virtual), trained biostatistician, physical space for planning and advisory ",3,3,2,4,5,2,"promotion, funding, access to publishing ",2,2,3,3,2,2,"at least one day a week for research, more training, more trained staff and consultants ","collaborative wok with innovative research institutions, consultants that publish to have a better orientation during a research study ",3,3,2,2,3,"updated medical records for better management of information. access to local statistics ",2,2,3,3,2,3,2,5,5,5,5,4,6,4,4,4,7,6,7,7,6,6,5,6,6,6,6,6,5,"international statistics, correlation, orientation for innovative research studies ",2,"resident"
"164",164,"5/8/2019","specialty resident","",NA,"","internal medicine","","second year","USAC","female","2. masters or med specialty",29,1,1,1,1,1,1,2,5,4,4,1,1,1,1,"librarian, personal from research areas ",1,1,3,1,3,1,"time, funding ",1,1,1,1,1,1,"time to carry out research, tutors ","consultants ",2,2,1,1,2,"medical records ",1,1,1,1,5,5,2,5,4,4,4,4,4,3,2,2,2,3,4,5,5,5,5,2,4,4,4,5,4,"epidemiology ",2,"resident"
"165",165,"5/8/2019","specialty resident","",NA,"","internal medicine","","second year","Other","female","2. masters or med specialty",27,1,2,4,1,3,5,5,5,4,5,1,1,1,1,"library, study/research areas ",4,4,4,1,4,1,"time, promotion. funding ",1,1,2,4,2,2,"time to carry out research, infrastructure/ research areas and libraries ","international and local research consultants, networks with research institutions ",2,2,1,1,2,"data bases with patients medical records ",1,3,2,1,4,4,2,5,5,5,6,5,4,4,6,4,4,4,4,6,6,5,5,5,5,6,6,6,5,"epidemiology and statistics ",2,"resident"
"166",166,"5/8/2019","specialty resident","",NA,"","internal medicine","","second year","URL","male","1. university",28,3,1,1,1,1,1,5,5,5,5,5,5,1,1,"librarian, epidemiologist, biostatistician ",3,3,4,3,5,1,"promotion, funding, Time to carry out research ",1,1,1,3,3,3,"library, internet, medical journals","laboratories, experimental research, support from statisticians ",3,1,2,1,3,"medical records, accessible medical records, RENAP",1,3,2,2,4,5,5,1,1,1,1,1,1,1,1,1,2,2,2,7,1,1,1,1,1,1,1,1,1,"epidemiology, statistics, history ",2,"resident"
"167",167,"5/8/2019","specialty resident","",NA,"","internal medicine","","second year","USAC","male","1. university",29,2,3,3,4,4,2,5,5,5,5,2,2,1,1,"",2,2,4,4,4,3,"",1,1,3,3,3,3,"","",2,2,2,3,3,"",3,3,5,3,5,3,3,2,2,2,2,3,3,3,3,3,3,3,5,5,2,2,2,3,3,2,2,3,3,"",2,"resident"
"168",168,"5/8/2019","specialty resident","",NA,"","internal medicine","","second year","USAC","female","1. university",29,1,1,1,1,1,1,5,5,5,5,1,1,1,1,"librarian, internet access, epidemiology data ",1,2,2,1,2,2,"Time to carry out research, training",1,1,1,1,2,2,"access to trained consultants ","laboratory studies ",2,1,2,1,1,"",1,1,1,1,3,3,1,3,3,3,3,3,3,2,1,2,2,2,1,3,1,3,3,3,3,3,3,3,3,"study design, data analysis, literature review",2,"resident"
"169",169,"5/8/2019","specialty resident","",NA,"","internal medicine","","third year","Other","female","1. university",29,1,1,2,1,2,2,3,4,4,4,2,4,1,1,"librarian, computing area, study area",3,4,5,5,5,5,"funding, incentives, training ",2,1,3,5,4,4,"funding, training","consultants ",5,4,4,4,4,"renap",3,5,5,5,5,5,5,7,6,5,7,7,6,4,1,1,5,7,7,6,4,2,4,3,5,6,5,6,6,"",2,"resident"
